post_id,url,post_date,post_type,is_urgent,seller_type,property_type,project_name,price,price_per_m2,area,area_used,floors,bedrooms,bathrooms,frontage,acces_road,house_direction,balcony_direction,floors_apartment,year_built,address_full,street,ward,district,city,legal_status,furniture_state,has_garage,has_pool,has_elevator,has_security,has_parking,management_fee,has_swimming_pool,has_gym,has_supermarket,building_density,crawled_at,source
45679867,https://batdongsan.com.vn/ban-nha-mat-pho-vinhomes-green-paradise-xa-can-gio-tp-ho-chi-minh/ban-san-vuon-2-truoc-song-sau-cong-vien-vin-gio-pr45679867,25/05/2026,Tin VIP Bạc,False,Lê Khắc Nam Thành,"Bán nhà sân vườn 2 mặt phố, trước Sông, sau công viên - Vin Cần Giờ",,20000.0,111.1111,180.0,,,,,20.5,,Đông - Nam,,,,"Hồ Chí Minh, Cần Giờ, Nhà mặt phố tại Vinhomes Green Paradise",,Hồ Chí Minh,Cần Giờ,Nhà mặt phố tại Vinhomes Green Paradise,Sổ đỏ/ Sổ hồng,Không nội thất,False,False,False,False,False,,False,False,True,,2026-05-29 16:27:37,can_ho_hcm
45783310,https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-duong-cau-tau-phuong-thuan-an-tp-ho-chi-minh/chinh-chu-ban-san-vuon-2-mat-tien-dt-2-296m2-view-song-ep-pr45783310,25/05/2026,Tin VIP Bạc,False,Nguyễn Phạm Nhật Trường,"Chính Chủ Bán Biệt Thự Sân Vườn 2 Mặt Tiền Đường Cầu Tàu, Dt 2.296m2, View Sông Đẹp",,65000.0,28310.1045,2.296,,2.0,2.0,,26.0,,,,,,"Hồ Chí Minh, Thuận An, Nhà biệt thự, liền kề tại đường Cầu Tàu",,Hồ Chí Minh,Thuận An,"Nhà biệt thự, liền kề tại đường Cầu Tàu",,,False,False,False,False,False,,True,False,True,,2026-05-29 16:27:59,can_ho_hcm
45202288,https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-the-meadow-binh-chanh-xa-tan-vinh-loc-tp-ho-chi-minh/sieu-hot-quy-can-moi-nhat-da-gia-f0-tu-c-t-dt-tu-105m2-ls-0-trong-2-nam-pr45202288,25/05/2026,Tin VIP Bạc,False,Ms Thư- Celadon City Gamuda Land,"Siêu hot, Qũy căn mới nhất DA Meadow Bình Chánh, giá F0 Từ CĐT, DT từ 105m2, LS 0% trong 2 năm",,,,105.0,,3.0,3.0,4.0,,30.0,,,,,"Hồ Chí Minh, Tân Vĩnh Lộc, Nhà biệt thự, liền kề tại The Meadow Bình Chánh",,Hồ Chí Minh,Tân Vĩnh Lộc,"Nhà biệt thự, liền kề tại The Meadow Bình Chánh",Hợp đồng mua bán,,False,True,False,True,False,,True,True,True,,2026-05-29 16:28:10,can_ho_hcm
45546305,https://batdongsan.com.vn/ban-nha-rieng-duong-le-van-sy-phuong-nhieu-loc-tp-ho-chi-minh/sieu-pham-hem-4m-ep-san-rong-gan-80m-hiem-co-kho-tim-tai-q-3-pr45546305,25/05/2026,Tin VIP Bạc,False,Chị Hòa,CHÍNH CHỦ BÁN SIÊU PHẨM HẺM 4M LÊ VĂN SỸ  NHÀ ĐẸP + SÂN RỘNG GẦN 80M²  HIẾM CÓ KHÓ TÌM TẠI Q.3,,11500.0,171.6418,67.0,,,4.0,5.0,,,,,,,"Hồ Chí Minh, Nhiêu Lộc, Nhà riêng tại đường Lê Văn Sỹ",,Hồ Chí Minh,Nhiêu Lộc,Nhà riêng tại đường Lê Văn Sỹ,Sổ đỏ/ Sổ hồng,,False,False,False,False,False,,False,False,True,,2026-05-29 16:28:21,can_ho_hcm
45779521,https://batdongsan.com.vn/ban-can-ho-chung-cu-the-emerald-boulevard-phuong-binh-hoa-tp-ho-chi-minh/ban-64-trieu-m2-45-94-m2-thuan-an-duong-pr45779521,25/05/2026,Tin VIP Bạc,False,Đức Huy,Sở hữu căn hộ chỉ 390tr full nội thất tại cửa ngõ Đông Bắc Sài Gòn,,2940.0,63.9965,45.94,,,1.0,1.0,,,,,,,"Hồ Chí Minh, Bình Hòa, Căn hộ chung cư tại The Emerald Boulevard",,Hồ Chí Minh,Bình Hòa,Căn hộ chung cư tại The Emerald Boulevard,Hợp đồng mua bán,Đầy đủ,False,True,False,False,False,,True,True,True,,2026-05-29 16:28:31,can_ho_hcm
26922610,https://batdongsan.com.vn/ban-can-ho-chung-cu-sadora-sala-phuong-an-khanh-tp-ho-chi-minh/2pn-full-noi-that-ban-gia-sieu-re-5-9-ty-pr26922610,25/05/2026,Tin VIP Bạc,False,Anh Diễn,"Chuyển nhượng Sadora, căn 3PN, giá 18 tỷ.all in",,18000.0,159.292,113.0,,,2.0,2.0,,,Tây - Bắc,Đông - Nam,,,"Hồ Chí Minh, An Khánh, Căn hộ chung cư tại Sadora Sala",,Hồ Chí Minh,An Khánh,Căn hộ chung cư tại Sadora Sala,Hợp đồng mua bán.,Cơ bản,False,False,False,False,False,,True,False,True,,2026-05-29 16:28:43,can_ho_hcm
37405621,https://batdongsan.com.vn/ban-can-ho-chung-cu-thu-thiem-zeit-river-phuong-an-khanh-tp-ho-chi-minh/ban-4pn-201m2-view-song-vinh-vien-tt-10-nhan-nha-t7-25-goi-ms-hang-0938960186-pr37405621,25/05/2026,Tin VIP Bạc,False,Ms Hằng,Giỏ hàng chuyển nhượng Zeit River 2 phòng ngủ và các căn 1 - 2 - 3 - 4PN. LH hotline0938 960 ***,,19500.0,201.0309,97.0,,,2.0,2.0,,,,Tây - Bắc,,,"Hồ Chí Minh, An Khánh, Căn hộ chung cư tại Thu Thiem Zeit River",,Hồ Chí Minh,An Khánh,Căn hộ chung cư tại Thu Thiem Zeit River,Hợp đồng mua bán,Cơ bản,False,True,False,False,False,,True,True,True,,2026-05-29 16:28:54,can_ho_hcm
44153033,https://batdongsan.com.vn/ban-nha-rieng-duong-hoang-du-khuong-phuong-vuon-lai-tp-ho-chi-minh/sieu-pham-pho-dt-4-5-x-14m-3-lau-hem-xe-hoi-7m-phan-huy-ich-lh-0901-383-038-truong-pr44153033,25/05/2026,Tin VIP Bạc,False,A Huy,"Bán villa phố 24/1 - 24/ 3 Hoàng Dư Khương. Hẻm 15m, khu an ninh. LH: 0901, 383, 038 A Huy",,31000.0,221.4286,140.0,,3.0,4.0,4.0,7.0,15.0,Đông - Bắc,Nam,,,"Hồ Chí Minh, Vườn Lài, Nhà riêng tại đường Hoàng Dư Khương",,Hồ Chí Minh,Vườn Lài,Nhà riêng tại đường Hoàng Dư Khương,Sổ đỏ/ Sổ hồng,Cơ bản,False,False,False,False,False,,False,False,True,,2026-05-29 16:29:05,can_ho_hcm
45713745,https://batdongsan.com.vn/ban-can-ho-chung-cu-victoria-village-phuong-cat-lai-tp-ho-chi-minh/2pn-2wc-tang-cao-view-quan-1-sieu-ep-pr45713745,25/05/2026,Tin VIP Bạc,False,Nguyễn Huỳnh Anh Trí,CĂN 2PN 2WC TẦNG CAO VIEW QUẬN 1 SIÊU ĐẸP,,6190.0,89.7101,69.0,,,2.0,2.0,,,Đông - Nam,Đông - Nam,,,"Hồ Chí Minh, Cát Lái, Căn hộ chung cư tại Victoria Village",,Hồ Chí Minh,Cát Lái,Căn hộ chung cư tại Victoria Village,Hợp đồng mua bán,,False,False,False,False,False,,False,False,True,,2026-05-29 16:29:15,can_ho_hcm
45282133,https://batdongsan.com.vn/ban-nha-mat-pho-pho-hai-ba-trung-phuong-xuan-hoa-sg-tp-ho-chi-minh/tien-q3-8-5x26m-3-lau-h-thue-230-trieu-gia-176-ty-pr45282133,25/05/2026,Tin VIP Bạc,False,Nguyễn Đình Hùng,"Mặt tiền Hai Bà Trưng (Q3), 8.5x26m, 3 lầu, HĐ thuê 230 triệu, giá 176 tỷ",,176000.0,782.2222,225.0,,,2.0,,,,,,,,"Hồ Chí Minh, Xuân Hòa, Nhà mặt phố tại phố Hai Bà Trưng",,Hồ Chí Minh,Xuân Hòa,Nhà mặt phố tại phố Hai Bà Trưng,,,False,False,False,False,False,,False,False,True,,2026-05-29 16:29:25,can_ho_hcm
45792783,https://batdongsan.com.vn/ban-nha-rieng-duong-ho-ba-phan-phuong-phuoc-long-sg-tp-ho-chi-minh/ket-von-ban-quan-9-gia-3-36-ty-48m2-tien-ich-ay-u-uong-xe-hoi-thong-thoang-pr45792783,25/05/2026,Tin VIP Bạc,False,Quỳnh Như,"Kẹt vốn bán nhà Hồ Bá Phấn, Quận 9. Giá 3,36 tỷ, 48m2, tiện ích đầy đủ, đường xe hơi thông thoáng",,3360.0,70.0,48.0,,1.0,3.0,3.0,,6.0,,,,,"Hồ Chí Minh, Phước Long, Nhà riêng tại đường Hồ Bá Phấn",,Hồ Chí Minh,Phước Long,Nhà riêng tại đường Hồ Bá Phấn,Sổ đỏ/ Sổ hồng,Cơ bản,False,False,False,False,False,,False,False,True,,2026-05-29 16:29:37,can_ho_hcm
45792624,https://batdongsan.com.vn/ban-can-ho-chung-cu-citi-soho-phuong-cat-lai-tp-ho-chi-minh/chinh-chu-ban-so-hong-goc-chinh-chu-citisoho-gia-thuong-luong-pr45792624,25/05/2026,Tin VIP Bạc,False,Thi,"Chính chủ bán căn hộ Cát Lái, sổ hồng, căn góc, chính chủ Citisoho, giá thương lượng",,3050.0,55.1537,55.3,,,2.0,2.0,,,Đông,Tây - Nam,,,"Hồ Chí Minh, Cát Lái, Căn hộ chung cư tại Citi Soho",,Hồ Chí Minh,Cát Lái,Căn hộ chung cư tại Citi Soho,Sổ đỏ/ Sổ hồng,Đầy đủ,False,False,False,False,False,,False,False,True,,2026-05-29 16:29:47,can_ho_hcm
45778001,https://batdongsan.com.vn/ban-dat-duong-dh615-phuong-long-nguyen-tp-ho-chi-minh/chinh-chu-ban-at-mat-tien-xe-uong-xe-container-gia-re-pr45778001,25/05/2026,Tin VIP Bạc,False,Nguyen Tri Viet,Chính chủ bán đất mặt tiền xe đường xe container giá rẻ,,1250.0,5.0,250.0,,,,,5.0,14.0,Bắc,,,,"Hồ Chí Minh, Long Nguyên, Bán đất tại đường DH615",,Hồ Chí Minh,Long Nguyên,Bán đất tại đường DH615,Sổ đỏ/ Sổ hồng,,False,False,False,False,False,,False,False,True,,2026-05-29 16:30:00,can_ho_hcm
40775793,https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-the-light-city-phuong-phuoc-thang-tp-ho-chi-minh/phap-ly-bach-so-huu-lau-dai-vietcombank-tro-vay-gia-tu-37tr-m2-pr40775793,25/05/2026,Tin VIP Bạc,False,Cường Nguyễn,"Nhà liền kề và biệt thự The Light City - Sở hữu lâu dài, giá ưu đãi tốt nhất từ trước tới nay",,5800.0,58.0,100.0,,2.0,,,16.5,,,,,,"Hồ Chí Minh, Phước Thắng, Nhà biệt thự, liền kề tại The Light City",,Hồ Chí Minh,Phước Thắng,"Nhà biệt thự, liền kề tại The Light City",Sổ đỏ/ Sổ hồng,Không nội thất,False,False,False,False,False,,False,False,True,,2026-05-29 16:30:28,can_ho_hcm
45693539,https://batdongsan.com.vn/ban-dat-nen-du-an-khu-dan-cu-khang-an-phuong-long-truong-tp-ho-chi-minh/gio-hang-khan-ia-oc-3-dien-tich-tu-120m-250m-gia-tu-68-trieu-m2-phu-huu-quan-9-pr45693539,25/05/2026,Tin VIP Bạc,False,Đinh Quốc Vương,Giỏ hàng Khang An - Địa Ốc 3 diện tích từ 120 - 250m2 giá từ 68 triệu/m2 Liên Phường Phú Hữu Quận 9,,12000.0,75.0,160.0,,,,,8.0,14.0,,,,,"Hồ Chí Minh, Long Trường, Đất nền dự án tại Khu dân cư Khang An",,Hồ Chí Minh,Long Trường,Đất nền dự án tại Khu dân cư Khang An,Sổ đỏ/ Sổ hồng,,False,False,False,False,False,,False,False,True,,2026-05-29 16:30:42,can_ho_hcm
45792632,https://batdongsan.com.vn/ban-nha-mat-pho-duong-so-3-phuong-binh-tan-tp-ho-chi-minh/tien-uong-6x19m-kdc-vinh-loc-oi-dien-truong-hoc-ngo-quyen-pr45792632,25/05/2026,Tin VIP Bạc,False,Nguyễn Văn Hoà,Mặt tiền đường 6x19m KDC Vĩnh Lộc đối diện trường học Ngô Quyền,,16500.0,144.7368,114.0,,3.0,5.0,6.0,6.0,30.0,,,,,"Hồ Chí Minh, Bình Tân, Nhà mặt phố tại đường Số 3",,Hồ Chí Minh,Bình Tân,Nhà mặt phố tại đường Số 3,Sổ đỏ/ Sổ hồng,,False,False,False,False,False,,False,False,True,,2026-05-29 16:30:53,can_ho_hcm
45783273,https://batdongsan.com.vn/ban-dat-duong-thuan-giao-13-phuong-thuan-giao-tp-ho-chi-minh/chinh-chu-ban-at-mat-tien-13-dien-tich-1-732m2-gan-ql13-gia-25-6-ty-pr45783273,25/05/2026,Tin VIP Bạc,False,Nguyễn Phạm Nhật Trường,"Chính chủ bán đất mặt tiền Thuận Giao 13, diện tích 1.732m2, gần QL13, giá 25,6 tỷ",,25600.0,14780.6005,1.732,,,,,33.0,,,,,,"Hồ Chí Minh, Thuận Giao, Bán đất tại đường Thuận Giao 13",,Hồ Chí Minh,Thuận Giao,Bán đất tại đường Thuận Giao 13,Sổ hồng,,False,False,False,False,False,,False,False,True,,2026-05-29 16:31:02,can_ho_hcm
